country,date,movility_reduction,deaths,pop
United Arab Emirates,2020-02-15,1.0,0,9446000
United Arab Emirates,2020-02-16,1.0,0,9446000
United Arab Emirates,2020-02-17,1.0,0,9446000
United Arab Emirates,2020-02-18,1.0,0,9446000
United Arab Emirates,2020-02-19,1.0,0,9446000
United Arab Emirates,2020-02-20,1.0,0,9446000
United Arab Emirates,2020-02-21,1.0,0,9446000
United Arab Emirates,2020-02-22,1.0,0,9446000
United Arab Emirates,2020-02-23,1.0,0,9446000
United Arab Emirates,2020-02-24,1.0,0,9446000
United Arab Emirates,2020-02-25,1.0,0,9446000
United Arab Emirates,2020-02-26,1.0,0,9446000
United Arab Emirates,2020-02-27,1.0,0,9446000
United Arab Emirates,2020-02-28,1.0,0,9446000
United Arab Emirates,2020-02-29,0.0,0,9446000
United Arab Emirates,2020-03-01,1.0,0,9446000
United Arab Emirates,2020-03-02,1.0,0,9446000
United Arab Emirates,2020-03-03,1.0,0,9446000
United Arab Emirates,2020-03-04,2.0,0,9446000
United Arab Emirates,2020-03-05,2.0,0,9446000
United Arab Emirates,2020-03-06,3.0,0,9446000
United Arab Emirates,2020-03-07,2.0,0,9446000
United Arab Emirates,2020-03-08,3.0,0,9446000
United Arab Emirates,2020-03-09,4.0,0,9446000
United Arab Emirates,2020-03-10,4.0,0,9446000
United Arab Emirates,2020-03-11,4.0,0,9446000
United Arab Emirates,2020-03-12,5.0,0,9446000
United Arab Emirates,2020-03-13,5.0,0,9446000
United Arab Emirates,2020-03-14,4.0,0,9446000
United Arab Emirates,2020-03-15,5.0,0,9446000
United Arab Emirates,2020-03-16,6.0,0,9446000
United Arab Emirates,2020-03-17,7.0,0,9446000
United Arab Emirates,2020-03-18,9.0,0,9446000
United Arab Emirates,2020-03-19,11.0,0,9446000
United Arab Emirates,2020-03-20,11.0,2,9446000
United Arab Emirates,2020-03-21,10.0,2,9446000
United Arab Emirates,2020-03-22,13.0,2,9446000
United Arab Emirates,2020-03-23,14.0,2,9446000
United Arab Emirates,2020-03-24,17.0,2,9446000
United Arab Emirates,2020-03-25,21.0,2,9446000
United Arab Emirates,2020-03-26,25.0,2,9446000
United Arab Emirates,2020-03-27,25.0,2,9446000
United Arab Emirates,2020-03-28,28.0,2,9446000
United Arab Emirates,2020-03-29,26.0,3,9446000
United Arab Emirates,2020-03-30,25.0,5,9446000
United Arab Emirates,2020-03-31,25.0,6,9446000
United Arab Emirates,2020-04-01,25.0,8,9446000
